"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8"
"02","CONPA01",57,"05/30/2000","053000-1","INV","143.00","Zone 11-4/10/00-$143.00"
"02","CONPA01",64,"05/30/2000","053000-2","INV","540.00","Zone 10-5/24/00-$540.00"
"02","CONPA01",76,"05/30/2000","053000-3","INV","575.00","Zone 11-4/10/00-$575.00"
"02","CONPA01",107,"05/30/2000","053000-4","INV","360.00","Zone 8-4/28/00-$360.00"
"02","CONPA01",137,"05/30/2000","053000-5","INV","383.00","Zone 5-4/19/00-$383.00"
"02","CONPA01",183,"05/30/2000","053000-6","INV","675.00","Zone 10-5/24/00-$675.00"
"02","CONPA01",184,"05/30/2000","053000-7","INV","650.00","Zone 9-5/11/00-$650.00"
"02","CONPA01",184,"05/30/2000","053000-8","INV","650.00","Zone 4-5/26/00-$650.00"
"02","CONPA01",186,"05/30/2000","053000-9","INV","575.00","Zone 6-2/21/00-$575.00"
"02","CONPA01",191,"05/30/2000","053000-10","INV","575.00","Zone 10-5/24/00-$575.00"
"02","CONPA01",191,"05/30/2000","053000-11","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",192,"05/30/2000","053000-12","INV","540.00","Zone 8-4/28/00-$540.00"
"02","CONPA01",192,"05/30/2000","053000-13","INV","540.00","Zone 9-5/11/00-$540.00"
"02","CONPA01",192,"05/30/2000","053000-14","INV","540.00","Zone 10-5/24/00-$540.00"
"02","CONPA01",204,"05/30/2000","053000-15","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",233,"05/30/2000","053000-16","INV","515.00","Zone 10-5/24/00-$515.00"
"02","CONPA01",262,"05/30/2000","053000-17","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",266,"05/30/2000","053000-18","INV","270.00","Zone 9-5/12/00-$270.00"
"02","CONPA01",269,"05/30/2000","053000-19","INV","575.00","Zone 10-5/24/00-$575.00"
"02","CONPA01",271,"05/30/2000","053000-20","INV","540.00","Zone 4-5/26/00-$540.00"
"02","CONPA01",300,"05/30/2000","053000-21","INV","690.00","Zone 6-2/21/00-$690.00"
"02","CONPA01",300,"05/30/2000","053000-22","INV","650.00","Zone 3-4/7/00-$650.00"
"02","CONPA01",300,"05/30/2000","053000-23","INV","650.00","Zone 11-4/10/00-$650.00"
"02","CONPA01",300,"05/30/2000","053000-24","INV","650.00","Zone 5-4/19/00-$650.00"
"02","CONPA01",300,"05/30/2000","053000-25","INV","650.00","Zone 8-4/28/00-$650.00"
"02","CONPA01",300,"05/30/2000","053000-26","INV","650.00","Zone 9-5/11/00-$650.00"
"02","CONPA01",300,"05/30/2000","053000-27","INV","650.00","Zone 10-5/24/00-$650.00"
"02","CONPA01",307,"05/30/2000","053000-28","INV","540.00","Zone 10-5/24/00-$540.00"
"02","CONPA01",319,"05/30/2000","053000-29","INV","205.00","Zone 9-1/28/00-$205.00"
"02","CONPA01",319,"05/30/2000","053000-30","INV","575.00","Zone 9-4/11/00-$575.00"
"02","CONPA01",339,"05/30/2000","053000-31","INV","550.00","Zone 8-4/28/00-$550.00"
"02","CONPA01",339,"05/30/2000","053000-32","INV","550.00","Zone 9-5/11/00-$550.00"
"02","CONPA01",345,"05/30/2000","053000-33","INV","550.00","Zone 5-4/19/00-$550.00"
"02","CONPA01",345,"05/30/2000","053000-34","INV","550.00","Zone 8-4/28/00-$550.00"
"02","CONPA01",345,"05/30/2000","053000-35","INV","550.00","Zone 9-5/11/00-$550.00"
"02","CONPA01",350,"05/30/2000","053000-36","INV","208.00","Zone 4-5/26/00-$208.00"
"02","CONPA01",358,"05/30/2000","053000-37","INV","250.00","Zone 3-6/21/99-$250.00"
"02","CONPA01",358,"05/30/2000","053000-38","INV","575.00","Zone 3-4/7/00-$575.00"
"02","CONPA01",358,"05/30/2000","053000-39","INV","575.00","Zone 5-4/19/00-$575.00"
"02","CONPA01",366,"05/30/2000","053000-40","INV","675.00","Zone 4-5/26/00-$675.00"
"02","CONPA01",374,"05/30/2000","053000-41","INV","575.00","Zone 3-4/7/00-$575.00"
"02","CONPA01",434,"05/30/2000","053000-42","INV","575.00","Zone 3-4/7/00-$575.00"
"02","CONPA01",441,"05/30/2000","053000-43","INV","191.00","Zone 10-5/24/00-$191.00"
"02","CONPA01",443,"05/30/2000","053000-44","INV","400.00","Zone 13-3/24/00-$400.00"
"02","CONPA01",449,"05/30/2000","053000-45","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",453,"05/30/2000","053000-46","INV","191.33","Zone 10-5/24/00-$191.33"
"02","CONPA01",456,"05/30/2000","053000-47","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",469,"05/30/2000","053000-48","INV","550.00","Zone 9-5/11/00-$550.00"
"02","CONPA01",488,"05/30/2000","053000-49","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",523,"05/30/2000","053000-50","INV","200.00","Zone 9-5/12/00-$200.00"
"02","CONPA01",538,"05/30/2000","053000-51","INV","350.00","Zone 13-3/24/00-$350.00"
"02","CONPA01",538,"05/30/2000","053000-52","INV","575.00","Zone 5-4/19/00-$575.00"
"02","CONPA01",538,"05/30/2000","053000-53","INV","575.00","Zone 9-5/11/00-$575.00"
"02","CONPA01",538,"05/30/2000","053000-54","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",546,"05/30/2000","053000-55","INV","25.00","Zone 10-2/18/00-$25.00"
"02","CONPA01",546,"05/30/2000","053000-56","INV","575.00","Zone 10-5/24/00-$575.00"
"02","CONPA01",592,"05/30/2000","053000-57","INV","270.00","Zone 7-3/13/00-$270.00"
"02","CONPA01",614,"05/30/2000","053000-58","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",618,"05/30/2000","053000-59","INV","325.00","Zone 4-9/24/99-$325.00"
"02","CONPA01",618,"05/30/2000","053000-60","INV","650.00","Zone 1-3/6/00-$650.00"
"02","CONPA01",618,"05/30/2000","053000-61","INV","550.00","Zone 4-5/26/00-$550.00"
"02","CONPA01",641,"05/30/2000","053000-62","INV","550.00","Zone 9-5/11/00-$550.00"
"02","CONPA01",643,"05/30/2000","053000-63","INV","525.00","Zone 11-4/10/00-$525.00"
"02","CONPA01",643,"05/30/2000","053000-64","INV","525.00","Zone 4-5/26/00-$525.00"
"02","CONPA01",655,"05/30/2000","053000-65","INV","370.00","Zone 10-5/24/00-$370.00"
"02","CONPA01",673,"05/30/2000","053000-66","INV","540.00","Zone 9-5/11/00-$540.00"
"02","CONPA01",674,"05/30/2000","053000-67","INV","325.00","Zone 10-5/24/00-$325.00"
"02","CONPA01",674,"05/30/2000","053000-68","INV","325.00","Zone 4-5/26/00-$325.00"
"02","CONPA01",676,"05/30/2000","053000-69","INV","550.00","Zone 4-5/26/00-$550.00"
"02","CONPA01",691,"05/30/2000","053000-70","INV","575.00","Zone 3-4/7/00-$575.00"
"02","CONPA01",695,"05/30/2000","053000-71","INV","287.50","Zone 9-5/11/00-$287.50"
"02","CONPA01",701,"05/30/2000","053000-72","INV","575.00","Zone 4-5/26/00-$575.00"
"02","CONPA01",702,"05/30/2000","053000-73","INV","40.00","Zone 8-4/28/00-$40.00"
"02","CONPA01",728,"05/30/2000","053000-74","INV","650.00","Zone 12-1/31/00-$650.00"
"02","CONPA01",728,"05/30/2000","053000-75","INV","650.00","Zone 12-2/15/00-$650.00"
"02","CONPA01",728,"05/30/2000","053000-76","INV","650.00","Zone 12-2/27/00-$650.00"
"02","CONPA01",728,"05/30/2000","053000-77","INV","675.00","Zone 5-4/19/00-$675.00"
"02","CONPA01",728,"05/30/2000","053000-78","INV","675.00","Zone 8-4/28/00-$675.00"
"02","CONPA01",728,"05/30/2000","053000-79","INV","675.00","Zone 9-5/11/00-$675.00"
