"Paper color","Ink color","zone number","zone date","company name","phone number"
"GOLDEN","RED/BLK","1","1995-01-01","CAPITAL CHOICE TV","8997501"
"IVORY","R/GR","1","1995-03-01","BURNT HILLS BOOKS","3997004"
"CANARY","R/BLK","1","1995-03-01","CAPITAL CHOICE TV","8997501"
"PINK","RHOD/TEAL","1","1995-03-01","COAKLEY HOME TEXTILES","3828371"
"WHITE","RHOD/TEAL CARD","1","1995-03-01","DARLING LIMO","3722508"
"CANARY","R/BLUE","1","1995-03-01","DINO S PIZZA","3991622"
"BUFF","BORD/BLK","1","1995-03-01","DR. JUDD LESSER","3740385"
"PINK","TEAL/RHOD","1","1995-03-01","FRANK GALLO FLORIST","3466171"
"CHERRY","BLUE","1","1995-03-01","GAIL KING ELECTROLYSIS","3821591"
"GOLDEN","BORD/BLK","1","1995-03-01","GENE S CLEANING","3712462"
"IVORY","GR/BROWN","1","1995-03-01","HENRY S DRY CLEANERS","3748434"
"WHITE","R/TEAL","1","1995-03-01","J & J WINE & LIQUOR","3840649"
"IVORY","R/BLK","1","1995-03-01","JIFFY LUBE","8698835"
"BLUE","R/BLUE","1","1995-03-01","L ECOLE ENCORE","4371234"
"IVORY","R/GR","1","1995-03-01","LITTLE PROFESSOR BOOK","3992665"
"CHERRY","BLUE","1","1995-03-01","LOLLIPOPS","3990379"
"WHITE","R/BLK","1","1995-03-01","M & W WINDOW","3936969"
"CANARY","R/BLK","1","1995-03-01","MAYFAIR PAINT","3994551"
"CHERRY","BLK","1","1995-03-01","MONTANA S SERVICE","3829059"
"BUFF","R/BLK","1","1995-03-01","OASIS PIZZA","3840726"
"BUFF","R/BLK","1","1995-03-01","PAI S TAEKWON DO","3991008"
"BLUE","R/BLUE","1","1995-03-01","PARTIES & MORE","3991198"
"GREEN","GR/BLK","1","1995-03-01","PETTA S RESTAURANT","3467324"
"GREY","TEAL","1","1995-03-01","PHOTO IMAGES","3999100"
"GOLDEN","R/BLUE","1","1995-03-01","RAINDANCER CAR WASH","7867348"
"PINK","BORD/BLK","1","1995-03-01","ROTTERDAM HEAT","3562162"
"CANARY","R/BLK","1","1995-03-01","ROTTERDAM LANDSCAPING","6982100"
"PINK","TEAL","1","1995-03-01","WONG S CHINESE","3843300"
"WHITE","RHOD/TEAL","1","1995-07-01","BISAILLON S BAKERY","3996108"
"IVORY","RED/GREEN","1","1995-07-01","BURNT HILLS BOOKS","3997004"
"GREEN","GREEN/BLK","1","1995-07-01","BURNT HILLS OPTICAL","3996130"
"IVORY","RED/GREEN","1","1995-07-01","CACTUS CONCOCTIONS","3841979"
"GOLDEN","RED/BLK","1","1995-07-01","CAPITAL CHOICE TV","8997501"
"CHERRY","BLK","1","1995-07-01","DARLING LIMO","3722508"
"CANARY","RED/GREEN","1","1995-07-01","DINO S PIZZA","3991622"
"LILAC","TEAL/BORD","1","1995-07-01","EAGLE CREST  GOLF","8770406"
"SALMON","BORD/TEAL","1","1995-07-01","FRAMING CONCEPTS","3842261"
"PINK","RHOD/TEAL","1","1995-07-01","FRANK GALLO FLORIST","3466171"
"CHERRY","BLK","1","1995-07-01","GAIL KING ELECTROLYSIS","3821591"
"GOLDEN","BORD/BLK","1","1995-07-01","GENE S CLEANING","3712462"
"IVORY","BORD/BLK","1","1995-07-01","HOME FABRIC MILLS","9999999"
